"V1","V2"
"E2F1","ESR1"
"E2F1","GATA2"
"E2F1","GATA3"
"E2F1","JUN"
"E2F1","MYC"
"E2F1","PRDM1"
"E2F1","SP1"
"E2F1","SPI1"
"E2F1","BRCA1"
"E2F1","SMC3"
"E2F1","TP53"
"E2F1","PAX6"
"E2F1","NFKB2"
"E2F1","HIF1A"
"E2F1","E2F2"
"E2F1","CEBPA"
"E2F1","SOX9"
"E2F1","SMAD2"
"E2F1","RXRG"
"E2F1","RBPJ"
"E2F1","MYBL2"
"E2F1","MAFA"
"E2F1","ESR2"
"E2F1","E2F3"
"E2F1","CTNNB1"
"E2F1","CREBBP"
"E2F1","DDB2"
"E2F1","DTX1"
"E2F1","EZH2"
"E2F1","FOXP1"
"E2F1","HMGB2"
"E2F1","INSM1"
"E2F1","KLF10"
"E2F1","MCM6"
"E2F1","NCOA3"
"E2F1","NOTCH2"
"E2F1","PROX1"
"E2F1","PYGO2"
"E2F1","RB1"
"E2F1","SALL1"
"E2F1","SOX4"
"E2F1","SPEN"
"E2F1","BCL2L11"
"E2F1","MESP2"
"E2F1","DCK"
"E2F1","BEND6"
"E2F1","TNFAIP8"
"E2F1","UHRF1"
"E2F1","SNX10"
"E2F1","HSP90AA1"
"E2F1","MET"
"E2F1","NUSAP1"
"E2F1","DTL"
"E2F1","RIF1"
"E2F1","CHD7"
"E2F1","PRKDC"
"E2F1","HES4"
"E2F1","RAC1"
"E2F1","RFC4"
"E2F1","RPS6KB1"
"E2F1","RRM2"
"E2F1","SET"
"E2F1","RBM15"
"E2F1","BMP7"
"E2F1","SLC16A1"
"E2F1","BMPR1A"
"E2F1","ZFP36L2"
"E2F1","TYMS"
"E2F1","WNT9A"
"E2F1","NAA50"
"E2F1","SPHK1"
"E2F1","PRC1"
"E2F1","SLC16A6"
"E2F1","CCNE2"
"E2F1","ACVR2B"
"E2F1","LHX2"
"E2F1","PKMYT1"
"E2F1","NIPBL"
"E2F1","NDC80"
"E2F1","KDM6A"
"E2F1","IGF1R"
"E2F1","ERH"
"E2F1","CDCA7"
"E2F1","CCND1"
"E2F1","ZACN"
"E2F1","YAP1"
"E2F1","WWOX"
"E2F1","WNT5A"
"E2F1","WNT1"
"E2F1","WAC"
"E2F1","VPS35"
"E2F1","VGF"
"E2F1","TRMT2B"
"E2F1","TRAF7"
"E2F1","TOP2A"
"E2F1","TNXB"
"E2F1","TMEM200B"
"E2F1","TMEM132E"
"E2F1","TIMP1"
"E2F1","TGFB2"
"E2F1","SS18"
"E2F1","SMC1A"
"E2F1","SLC9A3R1"
"E2F1","SLC6A4"
"E2F1","SLC2A3"
"E2F1","SLC25A32"
"E2F1","SLC13A5"
"E2F1","SDCBP"
"E2F1","SDC1"
"E2F1","SCG3"
"E2F1","SAV1"
"E2F1","SAA2"
"E2F1","RUNDC1"
"E2F1","RUFY4"
"E2F1","RTBDN"
"E2F1","RDH16"
"E2F1","RASSF7"
"E2F1","PPP6C"
"E2F1","PHKB"
"E2F1","PDPN"
"E2F1","PBK"
"E2F1","P2RY4"
"E2F1","OXTR"
"E2F1","OXCT1"
"E2F1","NOTCH1"
"E2F1","NOL3"
"E2F1","NOG"
"E2F1","NFKBIZ"
"E2F1","NELL2"
"E2F1","NEK2"
"E2F1","MYH6"
"E2F1","MMP14"
"E2F1","METTL3"
"E2F1","MELK"
"E2F1","MDM2"
"E2F1","LRTOMT"
"E2F1","LPL"
"E2F1","LIN9"
"E2F1","LHX1"
"E2F1","KRT19"
"E2F1","KLK3"
"E2F1","KIF4A"
"E2F1","KIF2C"
"E2F1","KIF11"
"E2F1","KCNJ16"
"E2F1","KCNC1"
"E2F1","IL1A"
"E2F1","IGF2BP3"
"E2F1","IGF2BP1"
"E2F1","HOXC12"
"E2F1","HORMAD1"
"E2F1","HMGB1"
"E2F1","HIST3H3"
"E2F1","HIST2H3C"
"E2F1","HIST1H3H"
"E2F1","HIST1H2BO"
"E2F1","HIST1H2AM"
"E2F1","HES7"
"E2F1","HBA2"
"E2F1","GSK3B"
"E2F1","GRIA4"
"E2F1","GPX3"
"E2F1","GNL3"
"E2F1","GNAZ"
"E2F1","GMPS"
"E2F1","GLRA3"
"E2F1","GFPT1"
"E2F1","GBX2"
"E2F1","GALNT11"
"E2F1","GAD1"
"E2F1","FZD9"
"E2F1","FZD10"
"E2F1","FOXQ1"
"E2F1","FIBCD1"
"E2F1","FANCC"
"E2F1","FAM72D"
"E2F1","FAM129B"
"E2F1","EXT1"
"E2F1","EXO1"
"E2F1","EPO"
"E2F1","EGFR"
"E2F1","EGF"
"E2F1","ECEL1"
"E2F1","E2F8"
"E2F1","DOCK4"
"E2F1","DNER"
"E2F1","DLL4"
"E2F1","DIXDC1"
"E2F1","DACT2"
"E2F1","CSAG1"
"E2F1","CHRDL1"
"E2F1","CHAC1"
"E2F1","CENPF"
"E2F1","CEL"
"E2F1","CDK6"
"E2F1","CDK4"
"E2F1","CDH20"
"E2F1","CDH2"
"E2F1","CDC42BPA"
"E2F1","CD74"
"E2F1","CD151"
"E2F1","CBFA2T2"
"E2F1","CAV1"
"E2F1","CA2"
"E2F1","BRSK2"
"E2F1","BRAF"
"E2F1","BMPR1B"
"E2F1","B9D1"
"E2F1","ARID1A"
"E2F1","ARC"
"E2F1","APP"
"E2F1","ANXA4"
"E2F1","ANXA3"
"E2F1","AKT2"
"E2F1","AIF1L"
"E2F1","ACSM5"
"E2F1","AASDHPPT"
"E2F1","CCNA1"
"E2F1","CCNA2"
"EP300","ESR1"
"EP300","HEY1"
"EP300","FOS"
"EP300","GATA3"
"EP300","HNF4A"
"EP300","JUN"
"EP300","MEF2C"
"EP300","MYC"
"EP300","SP1"
"EP300","SPI1"
"EP300","BRCA1"
"EP300","STAT1"
"EP300","STAT3"
"EP300","BHLHE40"
"EP300","SMC3"
"EP300","TP53"
"EP300","SMAD4"
"EP300","PAX6"
"EP300","LEF1"
"EP300","HIF1A"
"EP300","EPAS1"
"EP300","CEBPA"
"EP300","TP63"
"EP300","TCF7L2"
"EP300","TCF7L1"
"EP300","TCF7"
"EP300","SOX9"
"EP300","SMAD2"
"EP300","RARB"
"EP300","RBPJ"
"EP300","RARG"
"EP300","RARA"
"EP300","NEUROD1"
"EP300","MYBL2"
"EP300","MITF"
"EP300","MAPK1"
"EP300","HOXD3"
"EP300","FOXO3"
"EP300","E2F3"
"EP300","CTNNB1"
"EP300","CREBBP"
"EP300","BCL6"
"EP300","BBC3"
"EP300","ABL1"
"EP300","ASCL1"
"EP300","CDX2"
"EP300","CITED1"
"EP300","DTX1"
"EP300","ELF3"
"EP300","EZH2"
"EP300","FOXP1"
"EP300","GATA4"
"EP300","GATA5"
"EP300","GATA6"
"EP300","HDAC9"
"EP300","HES1"
"EP300","HES6"
"EP300","HEYL"
"EP300","HIF3A"
"EP300","KAT2B"
"EP300","KLF5"
"EP300","MAML1"
"EP300","MAML3"
"EP300","MED15"
"EP300","NCOA1"
"EP300","NCOA3"
"EP300","NFKBIA"
"EP300","NOTCH3"
"EP300","NR0B2"
"EP300","NR5A1"
"EP300","PROX1"
"EP300","RB1"
"EP300","SNW1"
"EP300","SOX17"
"EP300","SOX2"
"EP300","SPIB"
"EP300","TBX2"
"EP300","TWIST1"
"EP300","SNX10"
"EP300","NUSAP1"
"EP300","DTL"
"EP300","RIF1"
"EP300","RPS6KB1"
"EP300","SET"
"EP300","BMP7"
"EP300","ZFP36L2"
"EP300","SPHK1"
"EP300","CCND1"
"EP300","SS18"
"EP300","SLC13A5"
"EP300","SCG3"
"EP300","RTBDN"
"EP300","PDPN"
"EP300","OXTR"
"EP300","NOTCH1"
"EP300","NOL3"
"EP300","NOG"
"EP300","MDM2"
"EP300","KRT19"
"EP300","KIF2C"
"EP300","IL1A"
"EP300","HIST1H3H"
"EP300","HIST1H2BO"
"EP300","HIST1H2AM"
"EP300","HES7"
"EP300","GNL3"
"EP300","GNAZ"
